番号,問題文,A,B,C,D,正解,解説,補足
1,ポケモン『ルビー・サファイア』に登場するレックウザの特性はどれ？,プレッシャー,エアロック,てんきや,ノーガード,B,レックウザの特性は「エアロック」で、天気の効果を無効にする。これはカイオーガやグラードンとの関係性に重要な意味を持つ。,伝説のポケモン専用特性が使われる例。
2,以下のうち、ポケモン図鑑のNo.150に該当するのは？,ミュウ,フリーザー,ミュウツー,ファイヤー,C,図鑑No.150はミュウツーで、人工的に作られた伝説のポケモン。No.151がミュウである。,初代ポケモン図鑑順を覚えていれば解ける。
3,ゲンガーの元となったと考察されるポケモンは？,ピクシー,カビゴン,マタドガス,ニドキング,A,ゲンガーの姿と体格、カラーリングがピクシーの影と酷似していることから、ゲンガーはピクシーの影であるというファンの考察が有名。,公式では明言されていないが都市伝説として人気。
4,『ポケモン金銀』で初登場したポケモンのタイプで唯一、進化前も進化後も単タイプなものは？,デリバード,ドーブル,アンノーン,ツボツボ,C,アンノーンは単一のエスパータイプで、進化もしない特異なポケモン。型が28種類ある点も特徴。,フォルム違いによる戦術の幅は少ない。
5,初代ポケモンで『ふぶき』が必中だった理由は？,バグによる仕様,命中率100％に設定されていた,天気が常にあられ状態だった,こおり状態が強力すぎたため,B,初代（赤・緑）では『ふぶき』の命中率が100％に設定されており、さらにこおり状態になると永続だったため、極めて強力な技だった。,以降の作品では命中率が下げられている。
6,ポケモンにおける『種族値』とは何を指す？,個体ごとに違う基礎能力,同種のポケモンが持つ固定能力値の合計,努力値と個体値の合計,覚える技の数に影響する値,B,種族値とはそのポケモンの基本的な能力傾向を示す数値であり、例えば『サンダースは素早さの種族値が高い』などと用いられる。,種族値≠個体値。
7,次のうち『こおり』タイプのわざでないものは？,れいとうビーム,ふぶき,こごえるかぜ,オーロラビーム,D,『オーロラビーム』は『こおり』タイプだが、世代によって威力や演出が異なり、エスパー技と混同されやすい。実際にはれいとうビームの下位互換としての運用が多い。,出題設計時は混同しやすい技を意図的に入れると難易度が上がる。
8,『そらをとぶ』を使えないポケモンはどれ？,リザードン,プテラ,カイリュー,フリーザー,D,意外にも『フリーザー』はゲーム内で『そらをとぶ』を覚えられない。飛行タイプではあるが技習得の仕様による。,見た目と技習得は必ずしも一致しない。
9,ポケモン世界で『マサラタウン』の名前の由来は？,白（真っさら）の街,料理のスパイスから,ヒーローの始まりの地,"英語の""mass""から",A,『マサラ』は真っ白な状態＝“真っさら”が由来とされ、冒険のスタート地点として象徴的な意味を持っている。,他の地名も日本語の語呂や言葉遊びから来ている。
10,『ポケモン赤・緑』におけるライバルの最初のポケモンは何で決まる？,プレイヤーが選んだポケモンに有利なタイプを選ぶ,完全にランダム,常にフシギダネ,主人公と同じポケモン,A,初代ポケモンではライバルは常にプレイヤーの選んだ御三家に対して“有利なタイプ”を選んでくるため、難易度が上がる設計になっている。,チュートリアルでありながら本質的に厳しい選択。
